City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Comodoro Rivadavia,AR,-45.87,-67.5,68.0,32,40,21.92,scattered clouds
83,Tuktoyaktuk,CA,69.45,-133.04,53.6,81,20,11.41,few clouds
84,Kodiak,US,57.79,-152.41,66.2,59,20,3.36,few clouds
85,Ust-Tsilma,RU,65.44,52.15,54.27,87,37,0.6,scattered clouds
86,Jamestown,US,42.1,-79.24,84.99,47,75,8.05,broken clouds
87,San Cristobal,VE,7.77,-72.22,93.2,36,40,14.99,scattered clouds
88,Talnakh,RU,69.49,88.4,57.2,67,38,13.42,scattered clouds
89,Horsham,GB,51.06,-0.33,64.4,72,20,12.75,few clouds
90,Narsaq,GL,60.92,-46.05,55.4,58,20,10.29,few clouds
91,Abha,SA,18.22,42.51,71.6,83,21,3.36,haze
92,Cervo,ES,43.67,-7.41,66.99,1,5,4.03,clear sky
93,Bredasdorp,ZA,-34.53,20.04,57.2,82,0,12.75,clear sky
94,Henties Bay,NA,-22.12,14.28,66.0,61,0,8.14,clear sky
95,Sangrur,IN,30.23,75.83,81.3,76,7,5.66,clear sky
96,Coihaique,CL,-45.58,-72.07,51.8,62,90,6.93,overcast clouds
97,Port-Gentil,GA,-0.72,8.78,77.0,83,40,14.65,scattered clouds
98,Huarmey,PE,-10.07,-78.15,68.34,62,9,11.18,clear sky
99,Garwa,IN,24.18,83.82,77.81,89,99,3.67,overcast clouds
100,Emerald,AU,-23.53,148.17,50.0,53,0,8.05,clear sky
101,Bulaevo,KZ,54.91,70.44,53.37,95,36,7.34,scattered clouds
102,Saint-Francois,FR,46.42,3.91,73.4,49,100,5.82,overcast clouds
103,Pacific Grove,US,36.62,-121.92,66.2,68,1,8.05,haze
104,Bulgan,MN,48.81,103.53,53.15,67,27,2.66,scattered clouds
105,Barrow,US,71.29,-156.79,41.0,93,90,23.04,mist
106,Fortuna,US,40.6,-124.16,69.01,82,40,11.41,scattered clouds
107,Awjilah,LY,29.11,21.29,83.1,49,0,17.31,clear sky
108,Boende,CD,-0.22,20.87,73.98,91,100,2.64,overcast clouds
109,Pingliang,CN,35.54,106.69,66.33,87,100,4.56,overcast clouds
110,Xiaoweizhai,CN,26.19,107.51,68.85,93,30,3.29,scattered clouds
111,Kapaa,US,22.08,-159.32,84.2,66,1,14.99,clear sky
112,Locri,IT,38.24,16.26,81.0,78,0,16.11,clear sky
113,Jyvaskyla,FI,62.24,25.72,62.6,93,90,8.05,moderate rain
114,East London,ZA,-33.02,27.91,67.57,37,0,5.86,clear sky
115,Sawtell,AU,-30.38,153.1,51.01,43,0,6.93,clear sky
116,Camargo,MX,27.67,-105.17,96.46,21,0,15.52,clear sky
117,Qaanaaq,GL,77.48,-69.36,38.34,78,100,2.84,overcast clouds
118,Te Anau,NZ,-45.42,167.72,40.05,89,100,0.34,overcast clouds
119,Constitucion,CL,-35.33,-72.42,60.26,60,0,7.74,clear sky
120,Vagay,RU,57.94,69.02,50.58,96,20,4.79,few clouds
121,Lavrentiya,RU,65.58,-171.0,46.17,95,100,9.48,light rain
122,Victoria,HK,22.29,114.16,82.0,78,37,5.41,scattered clouds
123,Samarai,PG,-10.62,150.67,75.65,76,100,11.9,overcast clouds
124,Toccoa,US,34.58,-83.33,84.2,58,1,6.93,clear sky
125,Suntar,RU,62.14,117.63,43.0,78,0,1.12,clear sky
126,Provideniya,RU,64.38,-173.3,49.14,94,100,5.26,light rain
127,Vestmannaeyjar,IS,63.44,-20.27,53.6,71,23,9.17,few clouds
128,Paamiut,GL,61.99,-49.67,44.01,91,18,10.83,few clouds
129,Isangel,VU,-19.55,169.27,73.4,83,13,6.93,few clouds
130,Aswan,EG,24.09,32.91,89.85,17,0,13.27,clear sky
131,Staryy Nadym,RU,65.61,72.68,54.14,85,100,12.88,overcast clouds
132,Nyagan,RU,62.14,65.39,52.65,94,50,7.4,scattered clouds
133,Williams Lake,CA,52.14,-122.14,60.8,44,75,4.38,broken clouds
134,Tutoia,BR,-2.76,-42.27,82.69,72,1,13.11,clear sky
135,Tiksi,RU,71.69,128.87,40.19,91,100,7.11,light rain
136,Kasempa,ZM,-13.46,25.83,66.4,42,0,8.23,clear sky
137,Salta,AR,-24.79,-65.41,64.4,15,75,10.29,broken clouds
138,Alofi,NU,-19.06,-169.92,75.2,94,6,6.93,clear sky
139,Puerto Ayora,EC,-0.74,-90.35,75.2,60,60,17.22,broken clouds
140,Phuket,TH,8.0,98.25,84.99,83,20,5.82,few clouds
141,Motygino,RU,58.18,94.76,55.58,96,100,2.53,light rain
142,Maldonado,UY,-34.67,-54.92,60.01,44,0,10.29,clear sky
143,Nanakuli,US,21.39,-158.15,82.4,61,1,5.82,clear sky
144,Paranhos,BR,-23.89,-55.43,62.33,56,2,4.76,clear sky
145,Talaya,RU,61.38,152.75,33.44,91,100,5.28,overcast clouds
146,Kupang,ID,-10.17,123.58,72.36,78,0,5.61,clear sky
147,Meulaboh,ID,4.14,96.13,74.73,88,91,3.04,overcast clouds
148,Erdenet,MN,49.03,104.08,52.99,78,5,2.55,clear sky
149,Tagusao,PH,9.19,117.81,79.93,79,65,5.68,broken clouds
150,Redlands,US,34.06,-117.18,95.0,26,40,6.93,haze
151,Ustyuzhna,RU,58.84,36.43,60.93,75,100,4.09,overcast clouds
152,Esperance,AU,-33.87,121.9,50.0,87,40,12.75,scattered clouds
153,Vostok,RU,46.49,135.88,50.4,92,100,3.56,overcast clouds
154,Santa Maria Da Vitoria,BR,-13.39,-44.19,93.76,23,73,3.85,broken clouds
155,Grand-Santi,GF,4.25,-54.38,93.45,38,89,2.1,overcast clouds
156,Teya,RU,60.38,92.63,52.61,89,100,1.7,overcast clouds
157,Richards Bay,ZA,-28.78,32.04,66.6,67,0,13.4,clear sky
158,Clinton,US,42.59,-82.92,91.99,54,20,10.29,few clouds
159,Dikson,RU,73.51,80.55,47.82,76,68,8.01,broken clouds
160,Severo-Kurilsk,RU,50.68,156.12,49.32,89,39,11.59,scattered clouds
161,Pinecrest,US,25.67,-80.31,93.0,59,40,17.22,scattered clouds
162,Kenai,US,60.55,-151.26,64.4,67,1,5.82,clear sky
163,Santana Do Matos,BR,-5.96,-36.66,95.29,19,25,15.7,scattered clouds
164,Yellowknife,CA,62.46,-114.35,57.0,71,75,16.11,broken clouds
165,Kadaura,IN,25.98,79.85,79.29,81,94,10.65,overcast clouds
166,Namibe,AO,-15.2,12.15,63.57,89,14,1.95,few clouds
167,Lebu,CL,-37.62,-73.65,53.94,73,0,11.25,clear sky
168,Soyo,AO,-6.13,12.37,74.14,84,1,8.5,clear sky
169,Manono,CD,-7.3,27.42,82.08,30,4,6.71,clear sky
170,Karanja,IN,20.48,77.48,75.13,91,100,8.14,overcast clouds
171,Olafsvik,IS,64.89,-23.71,52.41,67,0,8.14,clear sky
172,Lasa,IT,46.62,10.7,63.0,93,5,4.7,clear sky
173,Bengkulu,ID,-3.8,102.27,76.26,89,90,3.31,overcast clouds
174,Hovd,MN,48.01,91.64,58.8,52,97,3.6,overcast clouds
175,Jalu,LY,29.03,21.55,84.76,41,0,16.13,clear sky
176,Clyde River,CA,70.47,-68.59,49.5,71,100,7.2,overcast clouds
177,Norman Wells,CA,65.28,-126.83,62.6,63,40,11.41,scattered clouds
178,Bilma,NE,18.69,12.92,98.78,26,43,4.23,scattered clouds
179,Roma,US,43.21,-75.46,82.4,58,20,10.29,few clouds
180,Ancud,CL,-41.87,-73.82,55.99,87,40,16.11,scattered clouds
181,Tuzha,RU,57.61,47.94,54.91,86,46,5.12,scattered clouds
182,Hami,CN,42.8,93.45,78.55,24,0,4.43,clear sky
183,Uarini,BR,-2.99,-65.11,71.6,73,90,4.7,overcast clouds
184,Shimoda,JP,34.67,138.95,71.01,93,100,3.36,light rain
