City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Iralaya,HN,2020-08-19 01:26:20,15.0,-83.23,84.2,79,40,5.77
70,Bluff,NZ,2020-08-19 01:26:20,-46.6,168.33,55.99,81,76,5.99
71,Porto Novo,BJ,2020-08-19 01:26:21,6.5,2.6,75.2,94,20,9.17
72,Koryukivka,UA,2020-08-19 01:26:21,51.77,32.25,62.76,71,5,6.67
73,Nikolskoye,RU,2020-08-19 01:26:21,59.7,30.79,51.01,81,0,4.47
74,Klaksvik,FO,2020-08-19 01:26:21,62.23,-6.59,44.6,93,100,4.7
75,Berlevag,NO,2020-08-19 01:26:22,70.86,29.09,50.54,84,81,8.9
76,Codrington,AU,2020-08-19 01:26:22,-38.27,141.97,53.24,77,100,16.22
77,Garowe,SO,2020-08-19 01:26:22,8.41,48.48,76.28,68,100,28.01
78,Khatanga,RU,2020-08-19 01:26:23,71.97,102.5,52.12,59,0,15.99
79,Puerto Ayora,EC,2020-08-19 01:26:23,-0.74,-90.35,66.99,94,89,5.01
80,Port Alfred,ZA,2020-08-19 01:26:23,-33.59,26.89,53.89,68,56,28.88
81,Male,MV,2020-08-19 01:26:23,4.17,73.51,80.6,83,20,5.82
82,Oranjestad,AW,2020-08-19 01:26:21,12.52,-70.03,80.6,88,20,3.36
83,Bethel,US,2020-08-19 01:26:19,41.37,-73.41,66.0,82,1,4.5
84,College,US,2020-08-19 01:26:24,64.86,-147.8,75.2,35,40,1.45
85,Nathdwara,IN,2020-08-19 01:26:24,24.93,73.82,75.92,90,90,6.71
86,Cockburn Town,TC,2020-08-19 01:26:25,21.46,-71.14,83.52,80,0,18.84
87,Puerto Leguizamo,CO,2020-08-19 01:26:25,-0.19,-74.78,80.83,69,74,1.3
88,Bredasdorp,ZA,2020-08-19 01:26:25,-34.53,20.04,44.6,87,100,4.7
89,Victoria,HK,2020-08-19 01:24:16,22.29,114.16,81.0,83,75,20.8
90,Kovernino,RU,2020-08-19 01:23:54,57.13,43.81,45.46,87,0,4.9
91,Kodiak,US,2020-08-19 01:22:41,57.79,-152.41,60.8,72,1,6.93
92,Vaini,TO,2020-08-19 01:22:41,-21.2,-175.2,73.4,100,90,14.99
93,Halifax,CA,2020-08-19 01:21:36,44.65,-63.57,66.99,67,38,9.48
94,Hobyo,SO,2020-08-19 01:26:27,5.35,48.53,76.66,85,100,22.88
95,Coihaique,CL,2020-08-19 01:26:28,-45.58,-72.07,30.2,80,0,3.36
96,Rio Grande,BR,2020-08-19 01:23:01,-32.03,-52.1,54.0,98,1,5.48
97,Innisfail,AU,2020-08-19 01:26:28,-17.53,146.03,75.63,55,70,5.7
98,Tomatlan,MX,2020-08-19 01:26:28,19.93,-105.25,80.58,75,100,8.1
99,Ilebo,CD,2020-08-19 01:26:29,-4.32,20.58,77.2,62,0,1.61
100,Kenai,US,2020-08-19 01:26:29,60.55,-151.26,63.0,59,90,9.17
101,Vostok,RU,2020-08-19 01:26:30,46.49,135.88,58.64,100,100,2.91
102,Abu Samrah,SY,2020-08-19 01:26:30,35.3,37.18,69.35,77,0,11.12
103,Ayer Tawar,MY,2020-08-19 01:26:31,4.3,100.75,77.0,88,20,2.24
104,Muli,MV,2020-08-19 01:26:31,2.92,73.57,82.2,67,38,3.96
105,Mar Del Plata,AR,2020-08-19 01:26:31,-38.0,-57.56,43.0,67,95,9.17
106,Lavrentiya,RU,2020-08-19 01:26:31,65.58,-171.0,53.04,70,99,5.97
107,Labuhan,ID,2020-08-19 01:26:32,-6.88,112.21,79.81,72,2,7.65
108,Viransehir,TR,2020-08-19 01:26:32,37.24,39.76,76.3,19,0,2.42
109,Gallup,US,2020-08-19 01:26:32,35.53,-108.74,89.6,11,1,6.93
110,New Norfolk,AU,2020-08-19 01:26:19,-42.78,147.06,53.01,79,77,3.0
111,Lompoc,US,2020-08-19 01:26:33,34.64,-120.46,73.4,60,1,10.29
112,Dingle,PH,2020-08-19 01:26:33,11.0,122.67,81.73,80,100,5.08
113,Zhangjiakou,CN,2020-08-19 01:26:33,40.81,114.88,67.41,64,100,0.94
114,Yellowknife,CA,2020-08-19 01:24:26,62.46,-114.35,64.4,68,75,8.05
115,East London,ZA,2020-08-19 01:26:33,-33.02,27.91,55.51,60,100,30.67
116,Yar-Sale,RU,2020-08-19 01:26:34,66.83,70.83,55.98,79,100,14.25
117,Kapaa,US,2020-08-19 01:22:30,22.08,-159.32,84.99,83,90,16.11
118,Honiara,SB,2020-08-19 01:23:25,-9.43,159.95,87.8,62,75,10.29
119,Acapulco,MX,2020-08-19 01:22:01,16.86,-99.89,84.2,74,90,11.41
120,Si Satchanalai,TH,2020-08-19 01:26:35,17.52,99.76,78.8,88,40,2.24
121,Te Anau,NZ,2020-08-19 01:26:35,-45.42,167.72,48.79,90,100,1.36
122,Araguacu,BR,2020-08-19 01:26:35,-12.93,-49.83,83.14,26,27,5.84
123,Deputatskiy,RU,2020-08-19 01:26:35,69.3,139.9,37.78,98,100,5.82
124,Grand Gaube,MU,2020-08-19 01:26:36,-20.01,57.66,71.01,73,79,10.0
125,Avarua,CK,2020-08-19 01:26:36,-21.21,-159.78,75.2,73,30,19.46
126,Lumphat,KH,2020-08-19 01:26:36,13.49,106.98,76.01,96,100,2.19
127,Santa Isabel Do Rio Negro,BR,2020-08-19 01:26:36,-0.41,-65.02,77.41,78,96,3.67
128,Kichera,RU,2020-08-19 01:26:37,55.94,110.1,64.49,46,0,2.3
129,Tuktoyaktuk,CA,2020-08-19 01:26:37,69.45,-133.04,62.6,55,20,9.17
130,Necochea,AR,2020-08-19 01:26:37,-38.55,-58.74,36.0,18,0,8.99
131,Barinas,VE,2020-08-19 01:26:37,8.62,-70.21,74.08,96,100,1.95
132,Kununurra,AU,2020-08-19 01:26:38,-15.77,128.73,86.0,30,84,3.36
133,Beyneu,KZ,2020-08-19 01:26:38,45.32,55.2,66.27,72,0,5.75
134,Nanortalik,GL,2020-08-19 01:26:38,60.14,-45.24,47.98,67,0,5.08
135,Sorsk,RU,2020-08-19 01:26:39,54.0,90.25,56.34,94,100,1.05
136,Upernavik,GL,2020-08-19 01:26:39,72.79,-56.15,46.18,69,100,9.55
137,Poum,NC,2020-08-19 01:26:39,-20.23,164.02,69.62,67,0,2.86
138,Ahuimanu,US,2020-08-19 01:24:21,21.44,-157.84,84.2,62,90,13.87
139,Shishou,CN,2020-08-19 01:26:39,29.72,112.42,84.33,75,98,1.99
140,Vardo,NO,2020-08-19 01:23:12,70.37,31.11,51.4,88,100,10.4
141,Mapiripan,CO,2020-08-19 01:26:40,2.89,-72.13,74.89,91,78,3.58
142,Chuy,UY,2020-08-19 01:26:40,-33.7,-53.46,51.69,92,0,3.65
143,Kahului,US,2020-08-19 01:24:25,20.89,-156.47,87.8,48,40,16.11
144,Urucui,BR,2020-08-19 01:26:41,-7.23,-44.56,83.82,28,27,10.4
145,San Mateo Del Mar,MX,2020-08-19 01:26:41,16.2,-95.0,84.83,69,23,25.7
146,Los Llanos De Aridane,ES,2020-08-19 01:22:56,28.66,-17.92,72.0,83,0,9.17
147,Hit,IQ,2020-08-19 01:26:42,33.64,42.83,82.71,20,0,14.07
148,Itacarambi,BR,2020-08-19 01:26:42,-15.1,-44.09,69.98,55,0,3.04
149,Cape Town,ZA,2020-08-19 01:23:46,-33.93,18.42,50.0,81,75,2.24
150,Ancud,CL,2020-08-19 01:26:43,-41.87,-73.82,39.0,78,21,5.82
151,Saint-Joseph,RE,2020-08-19 01:26:43,-21.37,55.62,62.6,77,75,3.36
152,Cherskiy,RU,2020-08-19 01:26:43,68.75,161.3,44.85,86,100,6.89
153,Namatanai,PG,2020-08-19 01:26:44,-3.67,152.43,83.44,70,68,8.12
154,Livingston,GB,2020-08-19 01:26:44,55.9,-3.52,59.0,100,90,1.12
155,Kavieng,PG,2020-08-19 01:26:45,-2.57,150.8,84.45,69,44,7.27
156,Puerto Colombia,CO,2020-08-19 01:26:45,10.99,-74.95,82.4,88,40,6.93
157,San Jose,US,2020-08-19 01:26:12,37.34,-121.89,96.8,21,75,12.75
158,Dzaoudzi,YT,2020-08-19 01:26:46,-12.79,45.27,75.2,83,40,2.24
159,Tselina,RU,2020-08-19 01:26:46,46.53,41.03,73.96,39,88,6.29
160,Hoganas,SE,2020-08-19 01:22:19,56.2,12.56,61.0,93,100,5.95
161,Areosa,PT,2020-08-19 01:26:47,41.72,-8.86,71.01,94,75,11.41
162,Henties Bay,NA,2020-08-19 01:26:47,-22.12,14.28,53.82,69,0,4.54
163,Road Town,VG,2020-08-19 01:24:12,18.42,-64.62,84.0,81,25,17.0
164,Fenoarivo,MG,2020-08-19 01:26:48,-18.93,47.44,51.8,87,75,5.82
165,Tukums,LV,2020-08-19 01:26:48,56.97,23.16,51.8,93,30,3.36
166,Imbituba,BR,2020-08-19 01:25:35,-28.24,-48.67,66.2,93,100,10.29
167,Saskylakh,RU,2020-08-19 01:26:49,71.92,114.08,43.84,74,100,9.98
168,Adeje,ES,2020-08-19 01:26:49,28.12,-16.73,73.0,78,0,5.82
169,Hambantota,LK,2020-08-19 01:26:49,6.12,81.12,77.0,100,100,8.05
170,Andenes,NO,2020-08-19 01:26:50,69.31,16.12,50.0,93,100,5.82
171,Homer,US,2020-08-19 01:26:52,59.64,-151.55,60.8,63,75,16.11
172,Lufilufi,WS,2020-08-19 01:26:52,-13.87,-171.6,89.6,75,20,17.22
173,Klyuchi,RU,2020-08-19 01:26:52,52.27,79.17,61.79,55,72,8.93
174,Magdagachi,RU,2020-08-19 01:26:52,53.45,125.8,60.15,43,0,9.69
175,Lorengau,PG,2020-08-19 01:26:53,-2.02,147.27,83.61,76,26,9.04
176,Marienburg,PL,2020-08-19 01:26:53,54.04,19.03,63.0,100,60,3.96
177,Itoman,JP,2020-08-19 01:26:53,26.12,127.67,87.8,74,40,12.75
178,Mahebourg,MU,2020-08-19 01:22:43,-20.41,57.7,71.6,68,40,10.29
179,Nadvoitsy,RU,2020-08-19 01:26:54,63.87,34.32,48.76,87,38,4.97
180,Vila Velha,BR,2020-08-19 01:22:41,-20.33,-40.29,73.4,83,40,6.93
181,San Quintin,MX,2020-08-19 01:22:45,30.48,-115.95,80.15,65,0,6.71
182,Breznita-Motru,RO,2020-08-19 01:26:55,44.57,23.22,68.0,88,100,8.43
183,Dubrovka,RU,2020-08-19 01:26:55,53.69,33.51,59.0,84,100,6.35
184,Sabzevar,IR,2020-08-19 01:24:59,36.21,57.68,65.7,35,0,7.49
185,Sarankhola,BD,2020-08-19 01:26:56,22.31,89.79,79.38,92,100,4.97
186,Tateyama,JP,2020-08-19 01:26:56,34.98,139.87,86.0,79,75,10.29
187,Niksic,ME,2020-08-19 01:26:58,42.77,18.94,69.8,93,0,1.12
188,Namibe,AO,2020-08-19 01:22:52,-15.2,12.15,59.97,80,0,3.15
189,Fort Nelson,CA,2020-08-19 01:22:44,58.81,-122.7,59.0,100,75,3.36
190,Cap Malheureux,MU,2020-08-19 01:27:00,-19.98,57.61,71.01,73,73,10.0
191,Torbay,CA,2020-08-19 01:27:01,47.67,-52.73,57.99,100,90,21.92
192,Coolum Beach,AU,2020-08-19 01:27:01,-26.53,153.1,79.0,35,0,5.99
193,Axim,GH,2020-08-19 01:27:01,4.87,-2.24,75.22,88,97,7.85
194,Alcaniz,ES,2020-08-19 01:27:01,41.05,-0.13,71.01,72,6,4.0
195,Lins,BR,2020-08-19 01:27:02,-21.68,-49.74,70.14,73,0,10.6
196,Katsuura,JP,2020-08-19 01:27:02,35.13,140.3,89.01,74,75,5.82
197,Asau,RO,2020-08-19 01:27:02,46.43,26.4,62.01,82,1,4.59
198,Ribas Do Rio Pardo,BR,2020-08-19 01:27:02,-20.44,-53.76,77.34,52,61,4.32
199,Srednekolymsk,RU,2020-08-19 01:27:03,67.45,153.68,55.38,47,98,4.16
200,Colombo,LK,2020-08-19 01:22:30,6.93,79.85,78.8,88,40,3.36
201,Constitucion,CL,2020-08-19 01:27:04,-35.33,-72.42,47.14,77,52,10.11
202,Haileybury,CA,2020-08-19 01:27:05,47.45,-79.64,53.6,87,40,6.93
203,Faanui,PF,2020-08-19 01:27:06,-16.48,-151.75,78.12,76,0,19.28
204,Saint-Georges,GD,2020-08-19 01:24:09,12.06,-61.75,82.4,83,75,5.82
205,Geraldton,AU,2020-08-19 01:22:47,-28.77,114.6,51.8,87,41,6.93
206,Pervomayskiy,RU,2020-08-19 01:27:07,53.25,40.29,54.21,74,1,4.72
207,Cidreira,BR,2020-08-19 01:22:55,-30.18,-50.21,62.37,96,100,8.66
208,Tchaourou,BJ,2020-08-19 01:27:07,8.89,2.6,71.53,96,64,6.22
209,Phu Ly,VN,2020-08-19 01:24:01,20.54,105.91,78.48,92,99,4.47
210,Culiacancito,MX,2020-08-19 01:27:08,24.82,-107.53,81.0,83,90,3.36
211,Airai,TL,2020-08-19 01:27:08,-8.93,125.41,72.75,38,0,3.18
212,Kailua,US,2020-08-19 01:27:08,21.4,-157.74,84.2,62,90,13.87
213,Ambilobe,MG,2020-08-19 01:27:09,-13.2,49.05,64.58,70,45,5.14
214,Guarapari,BR,2020-08-19 01:27:10,-20.67,-40.5,73.4,83,40,6.93
215,Caravelas,BR,2020-08-19 01:27:10,-17.71,-39.25,72.99,83,5,7.96
216,Fougeres,FR,2020-08-19 01:27:11,48.35,-1.2,66.99,93,100,4.7
217,Verkhoshizhemye,RU,2020-08-19 01:27:11,58.01,49.1,39.87,95,0,7.43
218,Araouane,ML,2020-08-19 01:27:12,18.9,-3.53,91.62,33,36,10.29
